# Simulated BNS merger with GW detection; this is based on Patricelli et al . 2016, 2018
#run	MergerID	RA	Dec	Distance	DistMin	DistMax	redshift	theta	n det	SNR	90%C.R.	50%C.R.
#
run0004	MergerID000256	168.491	44.046	2.210678e+05	9.527872e+04	3.690678e+05	0.050	58.451	2	12.860	1534.229	528.807
run0004	MergerID000269	-10.897	5.843	1.224207e+05	6.742070e+04	1.397827e+05	0.028	29.346	3	26.320	15.371	4.219
run0004	MergerID000271	-42.728	-41.634	2.222978e+05	1.402978e+05	2.910609e+05	0.050	41.595	2	14.870	941.294	217.731
run0004	MergerID000276	-41.869	50.235	8.462340e+04	7.048359e+04	2.726234e+05	0.019	84.507	2	13.390	148.850	20.143
run0004	MergerID000277	-131.687	-77.080	2.273562e+05	1.133562e+05	2.343882e+05	0.051	14.124	3	15.280	18.196	4.486
run0004	MergerID000287	-65.233	-52.343	3.110339e+05	1.560339e+05	3.231818e+05	0.070	15.835	2	12.290	1406.538	276.718
run0004	MergerID000313	-10.148	-40.602	1.914301e+05	1.154301e+05	2.674301e+05	0.043	47.007	3	17.120	17.028	4.405
run0004	MergerID000339	-126.168	39.071	2.729459e+05	1.359459e+05	2.815654e+05	0.062	14.269	3	12.050	22.523	5.900
run0004	MergerID000341	-153.090	44.425	1.193816e+05	5.639474e+04	2.183816e+05	0.027	62.938	3	17.920	7.351	2.070
run0004	MergerID000348	127.923	-17.533	1.897777e+05	9.577770e+04	1.977641e+05	0.043	16.423	3	15.420	60.416	16.078
run0004	MergerID000359	-111.982	37.424	1.979709e+05	1.219709e+05	2.739709e+05	0.045	46.202	3	12.730	21.392	5.691
run0004	MergerID000362	-8.479	-26.051	3.143565e+05	1.593565e+05	3.302640e+05	0.071	17.966	3	14.130	29.357	7.131
run0004	MergerID000385	-15.090	32.098	1.698064e+05	9.680640e+04	2.006986e+05	0.038	32.897	3	14.140	89.978	22.697
run0004	MergerID000386	6.617	-29.413	3.352619e+05	1.642619e+05	3.399481e+05	0.076	9.541	2	12.710	844.644	206.847
run0004	MergerID000387	12.347	-28.512	3.106530e+05	1.566530e+05	3.231716e+05	0.070	16.079	3	12.840	32.255	7.822
run0004	MergerID000388	-118.393	-23.948	1.100855e+05	6.408550e+04	1.331773e+05	0.025	35.079	2	13.310	106.587	17.461
run0004	MergerID000390	4.203	-22.365	3.388388e+05	1.878388e+05	3.886420e+05	0.077	29.835	3	12.840	66.111	12.563
run0004	MergerID000428	121.825	-19.637	1.556015e+05	8.760150e+04	1.826134e+05	0.035	32.203	3	14.360	45.728	12.157
run0004	MergerID000442	-51.001	-14.302	2.772103e+05	1.662103e+05	3.434252e+05	0.063	37.167	2	12.300	1278.611	330.629
run0004	MergerID000446	-46.387	-23.778	2.828867e+05	1.448867e+05	3.001002e+05	0.064	19.645	2	13.080	1137.348	294.238
run0005	MergerID000009	-130.431	14.532	1.049807e+05	4.995465e+04	1.939807e+05	0.024	63.278	3	12.340	25.405	6.905
run0005	MergerID000012	-115.428	-50.676	2.529289e+05	1.389289e+05	2.869963e+05	0.057	28.652	3	13.460	55.174	13.275
run0005	MergerID000061	-16.333	-13.804	7.011711e+04	4.211711e+04	9.811711e+04	0.016	47.137	3	42.100	2.823	0.797
run0005	MergerID000137	-165.018	-9.746	6.648206e+04	3.517591e+04	1.364821e+05	0.015	67.990	3	23.740	52.157	9.985
run0005	MergerID000138	134.769	-13.940	1.044352e+05	4.366325e+04	1.694352e+05	0.024	56.869	3	19.640	35.004	10.281
run0005	MergerID000156	-59.372	-47.881	1.827316e+05	8.394031e+04	3.247316e+05	0.041	61.612	3	12.340	336.675	90.342
run0005	MergerID000161	98.284	-3.787	2.276673e+05	1.116673e+05	2.302743e+05	0.051	8.642	3	16.150	40.052	10.648
