run MergerID RA Dec Distance DistMin DistMax redshift theta ndet SNR A90 A50
run0199 MergerID000278 -100.204 28.607 217500.0 105500.0 217906.2 0.049 3.5 3.0 14.6 18.396 4.936
run0204 MergerID000284 -26.714 2.686 340894.1 164894.1 340937.1 0.077 0.91 3.0 12.04 459.808 62.455
run0207 MergerID000154 -177.801 28.345 304515.1 147515.1 305212.5 0.069 3.875 2.0 13.83 828.396 165.485
run0210 MergerID000082 42.936 -49.456 255206.4 123206.4 255562.8 0.058 3.027 3.0 14.97 12.415 3.42
run0211 MergerID000016 31.427 -23.622 295403.8 143403.8 296021.2 0.067 3.702 3.0 13.22 23.582 6.103
run0214 MergerID000101 -170.877 36.753 409880.7 198880.7 411139.3 0.093 4.486 3.0 12.24 52.096 9.091
run0218 MergerID000245 -25.126 -22.249 361137.8 175137.8 361564.4 0.082 2.784 3.0 13.14 581.276 166.613
run0219 MergerID000029 -2.28 -67.599 390349.8 189349.8 391186.0 0.088 3.748 2.0 12.02 1563.971 510.238
run0221 MergerID000122 -122.367 59.981 92570.9 44570.9 92895.19 0.021 4.791 3.0 38.58 1.338 0.381
run0222 MergerID000318 34.198 63.791 238065.5 115065.5 238088.4 0.054 0.795 3.0 12.21 46.555 11.132
run0226 MergerID000257 -88.221 8.635 256205.0 124205.0 256584.0 0.058 3.115 3.0 14.53 163.387 52.18
run0226 MergerID000474 -82.302 -7.304 212876.8 102876.8 213366.8 0.048 3.885 3.0 16.3 90.408 21.631
run0231 MergerID000152 93.184 -62.667 218043.8 105043.8 218081.3 0.049 1.062 3.0 14.96 14.14 3.874
run0231 MergerID000320 179.243 30.383 395802.6 191802.6 397175.9 0.09 4.768 2.0 12.05 1419.062 333.2
run0233 MergerID000376 172.164 50.803 203223.0 98223.0 203293.6 0.046 1.51 3.0 22.04 5.869 1.603
run0240 MergerID000371 48.383 -23.064 206180.2 99180.2 206283.3 0.047 1.812 3.0 16.43 14.664 4.075
run0242 MergerID000066 -74.451 -39.256 57089.31 27089.31 57191.77 0.013 3.431 3.0 64.81 2.356 0.666
run0245 MergerID000155 19.457 -60.38 258455.7 125455.7 259218.1 0.058 4.397 3.0 15.36 26.561 6.648
run0245 MergerID000236 -163.951 14.309 203674.0 98674.0 204133.2 0.046 3.845 3.0 21.24 11.477 3.009
run0246 MergerID000002 -161.689 -60.908 184263.9 89263.9 184805.9 0.042 4.391 3.0 16.19 22.546 5.761
run0251 MergerID000377 129.213 -39.534 107203.7 51203.7 107469.8 0.024 4.034 2.0 20.95 98.001 17.301
run0252 MergerID000066 29.212 -26.214 315103.9 152103.9 315266.8 0.071 1.842 3.0 12.17 29.375 7.417
run0254 MergerID000367 64.777 39.016 139752.0 67752.0 140051.1 0.032 3.746 3.0 17.07 33.785 9.328
run0254 MergerID000456 148.094 34.309 368205.4 178205.4 368433.0 0.083 2.014 2.0 12.01 1295.502 343.061
run0256 MergerID000112 128.563 1.475 291842.1 141842.1 292633.8 0.066 4.217 3.0 13.49 132.192 39.742
run0258 MergerID000165 -168.669 -4.934 148325.9 71325.9 148652.0 0.034 3.797 3.0 22.06 42.717 9.494
run0266 MergerID000397 121.22 74.447 266371.7 128371.7 266682.5 0.06 2.767 3.0 15.27 27.629 5.224
run0276 MergerID000003 -76.251 -5.659 296632.5 143632.5 296991.5 0.067 2.818 3.0 13.49 110.256 30.739
run0278 MergerID000152 -30.819 -9.751 198190.3 96190.3 198606.1 0.045 3.709 3.0 20.59 21.417 5.375
run0279 MergerID000405 80.724 43.733 263396.5 127396.5 263689.4 0.06 2.701 3.0 13.01 72.415 16.507
run0284 MergerID000362 -33.357 6.72 272600.0 131600.0 273016.3 0.062 3.165 3.0 14.56 82.182 23.615
run0286 MergerID000099 -116.996 18.343 165877.5 79877.5 166315.0 0.038 4.158 3.0 18.73 14.568 4.511
run0290 MergerID000056 -57.309 -1.118 235246.7 114246.7 235936.8 0.053 4.385 3.0 15.67 93.483 26.674
run0290 MergerID000069 -172.733 24.924 320834.7 154834.7 321306.5 0.073 3.106 3.0 13.78 44.581 11.314
run0294 MergerID000203 176.285 -11.722 148183.0 71183.0 148694.1 0.034 4.754 3.0 23.4 44.791 9.903
run0315 MergerID000225 84.982 35.949 201459.9 97459.9 201948.8 0.046 3.989 3.0 14.07 87.585 18.209
run0317 MergerID000219 11.304 -12.847 181645.4 87645.4 181823.4 0.041 2.536 3.0 20.26 13.926 3.716
run0318 MergerID000143 -1.575 2.907 174542.1 84542.1 174889.0 0.039 3.61 3.0 20.53 43.533 9.193
run0328 MergerID000117 14.143 -42.253 362429.3 175429.3 363097.0 0.082 3.476 3.0 12.78 43.674 9.398
run0330 MergerID000007 125.217 -5.535 379992.0 183992.0 381380.0 0.086 4.892 3.0 12.09 284.94 66.527
run0332 MergerID000122 154.081 50.258 261091.0 126091.0 261677.8 0.059 3.839 2.0 17.59 684.811 130.759
run0334 MergerID000299 -7.673 -51.392 164036.7 79036.7 164574.5 0.037 4.635 3.0 26.62 3.979 1.131
run0335 MergerID000263 -54.709 32.397 174658.8 84658.8 174799.0 0.04 2.295 2.0 13.13 160.377 37.565
run0339 MergerID000241 169.825 73.048 226070.1 109070.1 226748.2 0.051 4.434 3.0 16.85 11.812 3.196
run0340 MergerID000060 -53.355 -60.093 325975.7 157975.7 326054.3 0.074 1.258 2.0 14.42 1043.871 232.288
run0341 MergerID000126 -165.048 -41.713 113186.0 54186.0 113422.9 0.026 3.705 3.0 22.78 15.196 4.356
run0344 MergerID000129 -56.759 -29.29 189609.6 91609.6 189783.9 0.043 2.456 2.0 21.79 253.955 59.059
run0346 MergerID000093 4.555 -9.441 232920.3 112920.3 233493.3 0.053 4.016 2.0 15.38 613.261 187.425
run0358 MergerID000063 110.691 65.46 238794.2 115794.2 239386.3 0.054 4.032 3.0 17.87 29.143 7.377
run0361 MergerID000216 91.799 -33.671 146443.7 70443.7 146788.5 0.033 3.929 3.0 20.55 9.985 2.792
run0363 MergerID000288 96.017 12.31 235791.3 113791.3 236192.1 0.053 3.339 3.0 15.56 58.029 16.979
run0363 MergerID000327 -38.742 -45.929 336715.8 162715.8 336825.0 0.076 1.459 2.0 13.16 1238.85 362.837
run0364 MergerID000134 131.974 43.674 204503.0 99503.0 205232.1 0.046 4.833 2.0 22.38 238.018 57.449
run0369 MergerID000392 21.125 -22.217 55862.96 26862.96 55889.71 0.013 1.773 3.0 68.85 0.724 0.217
run0370 MergerID000146 -157.081 -50.297 216111.5 104111.5 216460.1 0.049 3.253 3.0 12.45 74.95 18.523
run0370 MergerID000157 58.167 42.635 219939.2 106939.2 220612.4 0.05 4.479 3.0 12.67 64.396 16.402
run0371 MergerID000333 -176.679 -8.586 337768.1 163768.1 338941.0 0.076 4.77 3.0 12.09 150.017 23.818
run0378 MergerID000234 -127.582 32.271 267881.9 129881.9 268066.4 0.061 2.126 3.0 12.16 39.823 9.828
run0398 MergerID000008 -34.321 -27.0 449337.6 217337.6 449905.7 0.102 2.88 2.0 13.02 1449.355 498.96
run0403 MergerID000285 -43.153 -4.808 288472.4 139472.4 289150.2 0.065 3.925 3.0 14.72 75.277 18.523
run0406 MergerID000126 33.057 -51.841 430093.2 208093.2 430525.1 0.097 2.567 3.0 12.42 38.263 7.06
run0407 MergerID000101 -33.859 20.292 192759.4 92759.4 192857.9 0.044 1.831 3.0 16.74 51.499 14.789
run0410 MergerID000273 -170.882 60.087 288031.4 140031.4 289046.8 0.065 4.806 3.0 17.16 12.421 2.928
