run MergerID Time "Mean Altitude" Observatory
run0431 MergerID000202 "2020-01-27 02:16:06.883963" 40 North
run0436 MergerID000045 "2019-10-30 02:24:05.752385" 40 North
run0444 MergerID000110 "2019-10-09 02:09:01.658916" 40 North
run0444 MergerID000120 "2019-12-27 18:42:27.672501" 40 North
run0450 MergerID000128 "2019-08-26 17:13:54.505944" 20 South
run0452 MergerID000030 "2019-08-29 17:16:07.104169" 20 South
run0453 MergerID000359 "2020-01-26 22:40:22.703838" 40 North
run0454 MergerID000028 "2019-09-27 20:01:15.134387" 40 South
run0457 MergerID000240 "2019-08-30 00:28:33.498315" 40 North
run0459 MergerID000090 "2019-06-29 22:32:37.900450" 40 North
run0459 MergerID000351 "2020-03-15 20:51:50.420169" 20 North
run0460 MergerID000344 "2019-11-22 23:05:52.546770" 40 North
run0461 MergerID000109 "2019-09-24 16:23:14.686665" 40 South
run0461 MergerID000248 "2019-08-05 20:35:25.381536" 40 South
run0467 MergerID000321 "2019-11-01 19:14:47.745143" 40 South
run0468 MergerID000072 "2020-02-28 01:27:59.655433" 40 North
run0475 MergerID000120 "2019-08-03 18:10:04.466293" 40 South
run0475 MergerID000227 "2019-06-25 21:18:08.294805" 40 North
run0478 MergerID000180 "2019-09-05 22:10:03.285734" 40 South
run0478 MergerID000222 "2020-01-27 02:17:11.471656" 40 North
run0478 MergerID000299 "2019-12-31 23:34:26.264761" 20 North
run0481 MergerID000384 "2020-02-29 02:41:03.541549" 40 North
run0485 MergerID000348 "2019-09-22 21:10:27.700451" 20 North
run0485 MergerID000378 "2020-01-26 22:41:16.494146" 40 North
run0490 MergerID000070 "2019-12-21 18:39:16.962699" 40 North
run0493 MergerID000305 "2020-03-22 18:33:34.072914" 40 South
run0494 MergerID000343 "2019-08-27 18:27:51.317038" 40 South
run0496 MergerID000067 "2019-12-27 00:43:12.647984" 40 North
run0496 MergerID000386 "2020-02-27 00:15:53.208856" 40 North
run0498 MergerID000059 "2019-06-08 22:18:30.964503" 40 South
run0498 MergerID000071 "2019-10-29 19:13:25.897050" 20 North
run0501 MergerID000313 "2019-09-30 20:04:37.520178" 40 South
run0506 MergerID000064 "2019-08-27 22:04:15.179435" 40 North
run0509 MergerID000172 "2019-08-24 18:26:01.902597" 20 South
run0512 MergerID000238 "2020-01-25 21:29:03.086634" 40 North
run0522 MergerID000294 "2020-02-19 19:23:02.176308" 40 North
run0524 MergerID000091 "2019-11-19 19:28:50.827723" 40 North
run0524 MergerID000291 "2020-01-27 20:18:35.990511" 40 North
run0529 MergerID000045 "2020-03-24 17:23:36.012501" 20 South
run0533 MergerID000171 "2019-10-23 19:09:32.463651" 40 South
run0535 MergerID000181 "2019-12-25 01:54:25.878107" 40 North
run0539 MergerID000076 "2019-07-03 20:13:01.719753" 20 South
run0545 MergerID000361 "2019-11-30 00:24:29.001191" 40 North
run0550 MergerID000494 "2019-08-28 23:17:32.298676" 40 North
run0551 MergerID000099 "2019-10-03 20:07:24.667688" 40 South
run0554 MergerID000358 "2020-01-27 23:55:05.566400" 20 North
run0556 MergerID000312 "2019-08-22 16:01:08.622180" 40 South
run0559 MergerID000332 "2020-02-02 02:22:51.821961" 40 North
run0563 MergerID000044 "2019-07-26 15:41:47.626452" 40 South
run0566 MergerID000373 "2019-10-23 19:10:01.644703" 40 North
run0568 MergerID000056 "2020-01-22 21:27:39.858240" 40 South
run0569 MergerID000136 "2019-10-30 20:27:12.110708" 40 North
run0573 MergerID000478 "2020-01-02 00:48:44.438069" 40 North
run0576 MergerID000397 "2020-01-03 02:01:32.689762" 40 North
run0584 MergerID000213 "2019-12-30 00:46:40.519984" 20 North
run0592 MergerID000035 "2020-02-01 01:10:29.957220" 40 North
run0595 MergerID000080 "2019-08-07 23:03:02.696828" 20 South
run0595 MergerID000332 "2020-02-19 19:24:06.694484" 40 North
run0596 MergerID000291 "2019-07-01 21:24:27.581529" 20 South
run0600 MergerID000128 "2019-08-31 01:43:50.230036" 40 North
run0606 MergerID000304 "2020-01-26 01:06:25.680040" 40 North
run0607 MergerID000306 "2020-02-27 21:54:08.683965" 20 North
run0610 MergerID000260 "2019-11-03 21:42:40.363141" 40 South
run0612 MergerID000123 "2020-03-23 19:48:11.058172" 40 South
run0612 MergerID000258 "2019-09-24 20:01:55.216875" 40 South
run0613 MergerID000309 "2019-09-29 18:53:32.183362" 40 South
run0613 MergerID000375 "2019-08-03 18:12:31.917626" 40 South
run0615 MergerID000207 "2019-12-24 00:43:01.248786" 40 North
run0615 MergerID000245 "2020-03-17 19:44:07.178926" 40 North
run0620 MergerID000109 "2019-06-08 22:20:29.227155" 40 South
run0621 MergerID000232 "2019-10-27 20:25:59.904967" 40 North
run0629 MergerID000224 "2019-07-02 15:25:39.530350" 40 South
run0637 MergerID000089 "2019-09-26 22:27:50.399596" 40 South
run0637 MergerID000393 "2019-11-02 02:29:56.026715" 40 North
run0638 MergerID000041 "2020-01-24 20:18:16.974775" 40 South
run0641 MergerID000226 "2019-11-28 19:37:16.362622" 40 South
run0658 MergerID000260 "2019-12-05 02:53:51.722686" 40 North
run0660 MergerID000397 "2019-07-28 21:44:52.688650" 40 South
run0672 MergerID000265 "2020-02-14 20:33:36.702701" 40 North
run0688 MergerID000044 "2019-07-05 22:40:26.716664" 40 North
run0709 MergerID000364 "2020-01-24 20:18:34.937361" 40 North
run0762 MergerID000202 "2019-08-27 22:06:41.091051" 20 North
run0763 MergerID000224 "2019-12-29 21:11:59.530488" 40 South
run0765 MergerID000033 "2020-02-25 19:29:44.951508" 40 South
run0767 MergerID000231 "2019-07-30 20:34:37.802472" 40 South
run0782 MergerID000343 "2020-01-26 01:07:41.711886" 40 North
run0793 MergerID000465 "2019-12-31 20:01:35.408845" 40 South
run0798 MergerID000122 "2019-07-30 20:34:46.534295" 40 South
run0798 MergerID000403 "2019-10-30 20:29:03.721110" 20 South
run0807 MergerID000202 "2019-12-04 01:41:44.888384" 20 North
run0811 MergerID000253 "2019-09-25 21:15:59.085690" 40 South
run0837 MergerID000263 "2019-08-23 20:52:15.702314" 40 North
run0839 MergerID000040 "2020-03-24 21:02:23.748556" 40 North
run0842 MergerID000212 "2020-02-27 21:55:45.077616" 40 North
run0874 MergerID000385 "2020-03-31 00:42:55.399937" 40 North
run0880 MergerID000380 "2020-03-19 18:34:52.039353" 40 South
run0888 MergerID000244 "2019-10-30 20:29:27.153965" 40 South
run0889 MergerID000364 "2019-07-03 23:51:55.309884" 40 North
